Detailed Report Categories over Three Years,,,,
,,,,
Year,Category,SubCategory,# of Reports,Percentage
2022,Imposter Scams,Government Imposters,"191,079",3.71%
2022,Imposter Scams,Romance Scams,"67,644",1.31%
2022,Imposter Scams,Tech Support Scams,"89,158",1.73%
2022,Internet Services,Broadband Internet Access*,"5,234",0.10%
2022,Internet Services,Broadband Internet Cost*,"7,875",0.15%
2022,Internet Services,Broadband Internet Speed*,"1,536",0.03%
2022,Internet Services,Gaming & Virtual Reality*,"7,118",0.14%
2022,Internet Services,Online Payment Services,"51,897",1.01%
2022,Internet Services,Social Networking Services,"10,615",0.21%
2022,Internet Services,Website Content‡,"24,625",0.48%
2022,Internet Services,Website Design & Promotion,"3,630",0.07%
2022,Investment Related,"Art, Gems & Rare Coin Investments","1,681",0.03%
2022,Investment Related,Investment Seminars & Advice,"2,795",0.05%
2022,Investment Related,Miscellaneous Investments,"97,669",1.90%
2022,Investment Related,Stocks & Commodity Futures Trading,"2,579",0.05%
2022,Magazines and Books,Books & Magazines,"6,073",0.12%
2022,Miscellaneous Reports,Business Equipment & Facilities Leasing,437,0.01%
2022,Miscellaneous Reports,Children's Products,"1,521",0.03%
2022,Miscellaneous Reports,Food,"4,665",0.09%
2022,Miscellaneous Reports,"Garments, Wool, Leather Goods & Textiles",992,0.02%
2022,Miscellaneous Reports,Immigration Services,463,0.01%
2022,Miscellaneous Reports,Insurance (excl. Medical),"7,253",0.14%
2022,Miscellaneous Reports,Jewelry & Watches,"4,970",0.10%
2022,Miscellaneous Reports,Personal Care Products,"3,240",0.06%
2022,Miscellaneous Reports,Property & Inheritance Tracers,524,0.01%
2022,Miscellaneous Reports,Real Estate,"20,857",0.40%
2022,Miscellaneous Reports,Tobacco Products,"1,072",0.02%
2022,Miscellaneous Reports,Utilities,"5,100",0.10%
2022,Mortgage Foreclosure Relief and Debt Management,Credit & Debt Counseling,"23,297",0.45%
2022,Mortgage Foreclosure Relief and Debt Management,Mortgage Modification & Foreclosure Relief,748,0.01%
2022,Office Supplies and Services,Office Directory Listings & Ad Space,"2,230",0.04%
2022,Office Supplies and Services,Office Supplies & Services,"1,810",0.04%
2022,Online Shopping and Negative Reviews,Negative Online Reviews*,614,0.01%
2022,Online Shopping and Negative Reviews,Online Shopping,"327,000",6.35%
2022,"Privacy, Data Security, and Cyber Threats",Malware & Computer Exploits†,"47,165",0.92%
2022,"Privacy, Data Security, and Cyber Threats",Privacy & Data Security‡,"19,256",0.37%
2022,"Prizes, Sweepstakes and Lotteries","Prizes, Sweepstakes & Lotteries","143,132",2.78%
2022,Tax Preparers,Tax Preparers,"7,116",0.14%
2022,Telephone and Mobile Services,Connected Non-Wearable Devices*,90,0.00%
2022,Telephone and Mobile Services,Phone Billing‡,"17,852",0.35%
2022,Telephone and Mobile Services,Phone Carrier Switching,188,0.00%
2022,Telephone and Mobile Services,"Phone Devices, Accessories & Services‡","70,408",1.37%
2022,Telephone and Mobile Services,Prepaid Phone Cards,"1,680",0.03%
2022,Television and Electronic Media,Cable & Satellite TV,"32,135",0.62%
2022,Television and Electronic Media,Streaming & Digital Media,"2,135",0.04%
2022,Television and Electronic Media,TV Programming & Ads,"1,262",0.02%
2022,"Travel, Vacations and Timeshare Plans",Timeshare Resales,"2,610",0.05%
2022,"Travel, Vacations and Timeshare Plans",Timeshare Sales,"10,591",0.21%
2022,"Travel, Vacations and Timeshare Plans",Vacation & Travel,"49,358",0.96%
2022,Unspecified Reports,Other Misc.,"410,676",7.97%
2022,Unspecified Reports,Unsolicited Email,"174,994",3.40%
2022,Unspecified Reports,Unsolicited Text Messages,"235,961",4.58%
2022,Unspecified Reports,Unwanted Telemarketing Calls,"107,454",2.09%
,,,,
,,,,
"Percentages are based on the total number of Sentinel reports in 2020 (5,020,178), 2021 (5,964,830), and 2022 (5,150,368). Consumers can report more than one category or subcategory.",,,,
* These subcategories are counted as Other report types even though the broader category assigned is Fraud.,,,,
† This subcategory is counted as Fraud even though the broader category assigned is Other.,,,,
"‡ These categories or subcategories were added on October 22, 2020.",,,,
"§ These categories or subcategories were retired on October 22, 2020.  Reports about internet auctions submitted after this date are included in the Online Shopping subcategory.",,,,
,,,,
"Source: Consumer Sentinel Network Data Book 2022, Federal Trade Commission",,,,
