Metropolitan Areas: Fraud and Other Reports,,,
,,,
Rank,Metropolitan Areas,Reports per 100K Population,# of Reports
239,"Hammond, LA Metropolitan Statistical Area",773,"1,034"
240,"Canton-Massillon, OH Metropolitan Statistical Area",772,"3,079"
241,"Urban Honolulu, HI Metropolitan Statistical Area",770,"7,547"
242,"Cheyenne, WY Metropolitan Statistical Area",770,764
243,"Gadsden, AL Metropolitan Statistical Area",768,789
244,"Mansfield, OH Metropolitan Statistical Area",767,929
245,"Lawton, OK Metropolitan Statistical Area",766,974
246,"Charleston, WV Metropolitan Statistical Area",764,"1,994"
247,"Blacksburg-Christiansburg, VA Metropolitan Statistical Area",763,"1,275"
248,"Longview, TX Metropolitan Statistical Area",761,"2,173"
249,"Battle Creek, MI Metropolitan Statistical Area",760,"1,018"
250,"Athens-Clarke County, GA Metropolitan Statistical Area",759,"1,599"
251,"Springfield, MA Metropolitan Statistical Area",757,"5,291"
252,"Decatur, IL Metropolitan Statistical Area",756,791
253,"Binghamton, NY Metropolitan Statistical Area",755,"1,815"
254,"Bloomington, IL Metropolitan Statistical Area",755,"1,299"
255,"Kahului-Wailuku-Lahaina, HI Metropolitan Statistical Area",754,"1,257"
256,"Decatur, AL Metropolitan Statistical Area",753,"1,147"
257,"Fayetteville-Springdale-Rogers, AR Metropolitan Statistical Area",752,"3,957"
258,"Ogden-Clearfield, UT Metropolitan Statistical Area",751,"5,054"
259,"Longview, WA Metropolitan Statistical Area",751,814
260,"Salem, OR Metropolitan Statistical Area",750,"3,213"
261,"Monroe, LA Metropolitan Statistical Area",747,"1,509"
262,"Staunton, VA Metropolitan Statistical Area",746,916
263,"Greeley, CO Metropolitan Statistical Area",743,"2,342"
264,"Goldsboro, NC Metropolitan Statistical Area",742,918
265,"Bakersfield, CA Metropolitan Statistical Area",740,"6,608"
266,"Madera, CA Metropolitan Statistical Area",739,"1,153"
267,"Traverse City, MI Micropolitan Statistical Area",739,"1,106"
268,"Yuba City, CA Metropolitan Statistical Area",738,"1,283"
269,"Rapid City, SD Metropolitan Statistical Area",734,"1,033"
270,"Midland, TX Metropolitan Statistical Area",733,"1,297"
271,"Dothan, AL Metropolitan Statistical Area",732,"1,089"
272,"Springfield, OH Metropolitan Statistical Area",731,983
273,"Hattiesburg, MS Metropolitan Statistical Area",731,"1,233"
274,"Johnstown, PA Metropolitan Statistical Area",729,959
275,"Morgantown, WV Metropolitan Statistical Area",727,"1,016"
276,"Saginaw, MI Metropolitan Statistical Area",726,"1,387"
277,"Evansville, IN-KY Metropolitan Statistical Area",721,"2,271"
278,"Michigan City-La Porte, IN Metropolitan Statistical Area",720,792
279,"Lewiston-Auburn, ME Metropolitan Statistical Area",718,775
280,"Lake Charles, LA Metropolitan Statistical Area",716,"1,503"
281,"Modesto, CA Metropolitan Statistical Area",715,"3,908"
282,"Beckley, WV Metropolitan Statistical Area",714,839
283,"Waco, TX Metropolitan Statistical Area",712,"1,932"
284,"Abilene, TX Metropolitan Statistical Area",712,"1,220"
285,"Bangor, ME Metropolitan Statistical Area",712,"1,080"
286,"College Station-Bryan, TX Metropolitan Statistical Area",711,"1,862"
287,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area",710,"2,289"
288,"Grand Rapids-Kentwood, MI Metropolitan Statistical Area",710,"7,590"
289,"Janesville-Beloit, WI Metropolitan Statistical Area",708,"1,150"
290,"Augusta-Waterville, ME Micropolitan Statistical Area",707,864
291,"Bowling Green, KY Metropolitan Statistical Area",706,"1,249"
292,"Cleveland, TN Metropolitan Statistical Area",706,873
293,"Amarillo, TX Metropolitan Statistical Area",704,"1,861"
294,"State College, PA Metropolitan Statistical Area",699,"1,135"
295,"La Crosse-Onalaska, WI-MN Metropolitan Statistical Area",699,957
296,"Santa Maria-Santa Barbara, CA Metropolitan Statistical Area",699,"3,108"
297,"Altoona, PA Metropolitan Statistical Area",696,852
298,"Des Moines-West Des Moines, IA Metropolitan Statistical Area",692,"4,781"
299,"Provo-Orem, UT Metropolitan Statistical Area",692,"4,381"
300,"Chico, CA Metropolitan Statistical Area",688,"1,536"
301,"Florence-Muscle Shoals, AL Metropolitan Statistical Area",687,"1,015"
302,"Lubbock, TX Metropolitan Statistical Area",685,"2,193"
303,"Lebanon, PA Metropolitan Statistical Area",682,957
304,"Peoria, IL Metropolitan Statistical Area",681,"2,751"
305,"San Angelo, TX Metropolitan Statistical Area",678,823
306,"Morristown, TN Metropolitan Statistical Area",676,959
307,"Muskegon, MI Metropolitan Statistical Area",675,"1,172"
308,"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area",672,"2,556"
309,"Bluefield, WV-VA Micropolitan Statistical Area",672,718
310,"Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area",671,"2,470"
311,"Tupelo, MS Micropolitan Statistical Area",668,"1,108"
312,"Eau Claire, WI Metropolitan Statistical Area",667,"1,122"
313,"Cedar Rapids, IA Metropolitan Statistical Area",666,"1,809"
314,"Owensboro, KY Metropolitan Statistical Area",664,790
315,"Iowa City, IA Metropolitan Statistical Area",664,"1,148"
316,"El Paso, TX Metropolitan Statistical Area",664,"5,587"
317,"Glens Falls, NY Metropolitan Statistical Area",662,831
318,"Lancaster, PA Metropolitan Statistical Area",661,"3,592"
319,"Muncie, IN Metropolitan Statistical Area",660,755
320,"Idaho Falls, ID Metropolitan Statistical Area",659,980
321,"Bloomington, IN Metropolitan Statistical Area",658,"1,106"
322,"Rochester, MN Metropolitan Statistical Area",657,"1,444"
323,"Tullahoma-Manchester, TN Micropolitan Statistical Area",656,685
324,"Lincoln, NE Metropolitan Statistical Area",647,"2,156"
325,"Fargo, ND-MN Metropolitan Statistical Area",645,"1,573"
326,"Odessa, TX Metropolitan Statistical Area",643,"1,042"
327,"Jefferson City, MO Metropolitan Statistical Area",642,970
328,"Oshkosh-Neenah, WI Metropolitan Statistical Area",640,"1,094"
329,"Duluth, MN-WI Metropolitan Statistical Area",640,"1,851"
330,"Chambersburg-Waynesboro, PA Metropolitan Statistical Area",635,984
331,"Jackson, MI Metropolitan Statistical Area",633,"1,002"
332,"Merced, CA Metropolitan Statistical Area",632,"1,729"
333,"Wheeling, WV-OH Metropolitan Statistical Area",630,883
334,"Whitewater, WI Micropolitan Statistical Area",629,650
335,"Appleton, WI Metropolitan Statistical Area",628,"1,487"
336,"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area",627,"2,254"
337,"Waterloo-Cedar Falls, IA Metropolitan Statistical Area",625,"1,057"
338,"Green Bay, WI Metropolitan Statistical Area",622,"1,994"
339,"Wausau-Weston, WI Metropolitan Statistical Area",621,"1,013"
340,"Joplin, MO Metropolitan Statistical Area",619,"1,107"
341,"Lima, OH Metropolitan Statistical Area",619,636
342,"Show Low, AZ Micropolitan Statistical Area",618,682
343,"Monroe, MI Metropolitan Statistical Area",615,922
344,"Kennewick-Richland, WA Metropolitan Statistical Area",614,"1,807"
345,"Jamestown-Dunkirk-Fredonia, NY Micropolitan Statistical Area",614,783
346,"Harrisonburg, VA Metropolitan Statistical Area",612,824
347,"Sioux Falls, SD Metropolitan Statistical Area",611,"1,615"
348,"Weirton-Steubenville, WV-OH Metropolitan Statistical Area",610,715
349,"Utica-Rome, NY Metropolitan Statistical Area",609,"1,772"
350,"Terre Haute, IN Metropolitan Statistical Area",607,"1,133"
351,"Farmington, NM Metropolitan Statistical Area",607,762
352,"Logan, UT-ID Metropolitan Statistical Area",606,849
