Metropolitan Areas: Fraud and Other Reports,,,
,,,
Rank,Metropolitan Area,Reports per 100K Population,# of Reports
217,"Syracuse, NY Metropolitan Statistical Area",836,"5,525"
218,"Billings, MT Metropolitan Statistical Area",834,"1,527"
219,"Rapid City, SD Metropolitan Statistical Area",832,"1,151"
220,"Cleveland, TN Metropolitan Statistical Area",831,"1,042"
221,"Toledo, OH Metropolitan Statistical Area",831,"5,370"
222,"Hammond, LA Metropolitan Statistical Area",829,"1,099"
223,"Topeka, KS Metropolitan Statistical Area",829,"1,935"
224,"Wichita Falls, TX Metropolitan Statistical Area",826,"1,225"
225,"Mount Vernon-Anacortes, WA Metropolitan Statistical Area",826,"1,059"
226,"Flagstaff, AZ Metropolitan Statistical Area",826,"1,197"
227,"Valdosta, GA Metropolitan Statistical Area",825,"1,215"
228,"York-Hanover, PA Metropolitan Statistical Area",822,"3,737"
229,"Manhattan, KS Metropolitan Statistical Area",821,"1,102"
230,"Wichita, KS Metropolitan Statistical Area",821,"5,288"
231,"Saginaw, MI Metropolitan Statistical Area",820,"1,562"
232,"Napa, CA Metropolitan Statistical Area",819,"1,137"
233,"Charleston, WV Metropolitan Statistical Area",818,"2,134"
234,"Binghamton, NY Metropolitan Statistical Area",817,"2,020"
235,"Niles, MI Metropolitan Statistical Area",817,"1,260"
236,"Elizabethtown-Fort Knox, KY Metropolitan Statistical Area",817,"1,263"
237,"Worcester, MA-CT Metropolitan Statistical Area",816,"7,940"
238,"Youngstown-Warren-Boardman, OH-PA Metropolitan Statistical Area",815,"4,423"
239,"Urban Honolulu, HI Metropolitan Statistical Area",815,"8,272"
240,"Cookeville, TN Micropolitan Statistical Area",815,920
241,"Greeley, CO Metropolitan Statistical Area",811,"2,616"
242,"Waco, TX Metropolitan Statistical Area",811,"2,232"
243,"Lansing-East Lansing, MI Metropolitan Statistical Area",803,"4,348"
244,"Fort Wayne, IN Metropolitan Statistical Area",802,"3,334"
245,"Providence-Warwick, RI-MA Metropolitan Statistical Area",801,"13,353"
246,"Blacksburg-Christiansburg, VA Metropolitan Statistical Area",799,"1,328"
247,"Salem, OR Metropolitan Statistical Area",797,"3,429"
248,"Morgantown, WV Metropolitan Statistical Area",794,"1,111"
249,"Winchester, VA-WV Metropolitan Statistical Area",793,"1,124"
250,"Longview, WA Metropolitan Statistical Area",793,868
251,"Auburn-Opelika, AL Metropolitan Statistical Area",789,"1,359"
252,"Texarkana, TX-AR Metropolitan Statistical Area",788,"1,166"
253,"Bozeman, MT Micropolitan Statistical Area",788,920
254,"Danville, VA Micropolitan Statistical Area",787,814
255,"Lewiston-Auburn, ME Metropolitan Statistical Area",787,869
256,"Gadsden, AL Metropolitan Statistical Area",786,813
257,"Gainesville, GA Metropolitan Statistical Area",784,"1,581"
258,"Staunton, VA Metropolitan Statistical Area",783,975
259,"Bloomington, IL Metropolitan Statistical Area",783,"1,343"
260,"College Station-Bryan, TX Metropolitan Statistical Area",783,"2,079"
261,"Pottsville, PA Micropolitan Statistical Area",782,"1,121"
262,"Watertown-Fort Drum, NY Metropolitan Statistical Area",782,920
263,"Erie, PA Metropolitan Statistical Area",782,"2,126"
264,"Johnstown, PA Metropolitan Statistical Area",782,"1,048"
265,"Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area",775,"2,829"
266,"Chico, CA Metropolitan Statistical Area",775,"1,689"
267,"Yuba City, CA Metropolitan Statistical Area",774,"1,390"
268,"State College, PA Metropolitan Statistical Area",772,"1,227"
269,"Jackson, MI Metropolitan Statistical Area",769,"1,237"
270,"Bakersfield, CA Metropolitan Statistical Area",769,"6,964"
271,"Springfield, MA Metropolitan Statistical Area",768,"5,370"
272,"Des Moines-West Des Moines, IA Metropolitan Statistical Area",767,"5,388"
273,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area",766,"2,481"
274,"Odessa, TX Metropolitan Statistical Area",766,"1,235"
275,"Decatur, IL Metropolitan Statistical Area",766,799
276,"Kahului-Wailuku-Lahaina, HI Metropolitan Statistical Area",763,"1,256"
277,"Bloomington, IN Metropolitan Statistical Area",762,"1,231"
278,"Fargo, ND-MN Metropolitan Statistical Area",762,"1,889"
279,"Athens-Clarke County, GA Metropolitan Statistical Area",762,"1,629"
280,"Bluefield, WV-VA Micropolitan Statistical Area",761,813
281,"Madera, CA Metropolitan Statistical Area",759,"1,186"
282,"Ogden-Clearfield, UT Metropolitan Statistical Area",757,"5,202"
283,"Fayetteville-Springdale-Rogers, AR Metropolitan Statistical Area",755,"4,064"
284,"Tullahoma-Manchester, TN Micropolitan Statistical Area",755,802
285,"Lancaster, PA Metropolitan Statistical Area",754,"4,153"
286,"Grand Rapids-Kentwood, MI Metropolitan Statistical Area",754,"8,156"
287,"Augusta-Waterville, ME Micropolitan Statistical Area",752,927
288,"Morristown, TN Metropolitan Statistical Area",750,"1,065"
289,"Springfield, OH Metropolitan Statistical Area",748,"1,017"
290,"Janesville-Beloit, WI Metropolitan Statistical Area",747,"1,221"
291,"Beckley, WV Metropolitan Statistical Area",743,862
292,"Bangor, ME Metropolitan Statistical Area",740,"1,127"
293,"Joplin, MO Metropolitan Statistical Area",739,"1,336"
294,"Goldsboro, NC Metropolitan Statistical Area",737,867
295,"Modesto, CA Metropolitan Statistical Area",735,"4,047"
296,"Lubbock, TX Metropolitan Statistical Area",731,"2,336"
297,"Peoria, IL Metropolitan Statistical Area",729,"2,947"
298,"Provo-Orem, UT Metropolitan Statistical Area",727,"4,799"
299,"Richmond-Berea, KY Micropolitan Statistical Area",723,769
300,"Decatur, AL Metropolitan Statistical Area",722,"1,124"
301,"Evansville, IN-KY Metropolitan Statistical Area",719,"2,254"
302,"Abilene, TX Metropolitan Statistical Area",718,"1,258"
303,"Williamsport, PA Metropolitan Statistical Area",716,818
304,"Jonesboro, AR Metropolitan Statistical Area",715,952
305,"Glens Falls, NY Metropolitan Statistical Area",712,906
306,"Altoona, PA Metropolitan Statistical Area",712,877
307,"Utica-Rome, NY Metropolitan Statistical Area",710,"2,077"
308,"Michigan City-La Porte, IN Metropolitan Statistical Area",710,796
309,"Duluth, MN-WI Metropolitan Statistical Area",707,"2,061"
310,"Oshkosh-Neenah, WI Metropolitan Statistical Area",706,"1,210"
311,"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area",704,"2,704"
312,"Amarillo, TX Metropolitan Statistical Area",704,"1,889"
313,"Rochester, MN Metropolitan Statistical Area",702,"1,575"
314,"Muskegon, MI Metropolitan Statistical Area",700,"1,230"
315,"La Crosse-Onalaska, WI-MN Metropolitan Statistical Area",700,974
316,"Lincoln, NE Metropolitan Statistical Area",698,"2,359"
317,"Santa Maria-Santa Barbara, CA Metropolitan Statistical Area",697,"3,121"
318,"Show Low, AZ Micropolitan Statistical Area",695,741
319,"Traverse City, MI Micropolitan Statistical Area",695,"1,060"
320,"Jamestown-Dunkirk-Fredonia, NY Micropolitan Statistical Area",691,885
321,"Battle Creek, MI Metropolitan Statistical Area",686,920
322,"Tupelo, MS Micropolitan Statistical Area",685,"1,120"
323,"Monroe, MI Metropolitan Statistical Area",682,"1,051"
324,"Lake Charles, LA Metropolitan Statistical Area",674,"1,472"
325,"Mansfield, OH Metropolitan Statistical Area",672,837
326,"Weirton-Steubenville, WV-OH Metropolitan Statistical Area",672,789
327,"Jefferson City, MO Metropolitan Statistical Area",671,"1,013"
328,"Gettysburg, PA Metropolitan Statistical Area",670,695
329,"Lima, OH Metropolitan Statistical Area",670,686
330,"Bowling Green, KY Metropolitan Statistical Area",669,"1,193"
331,"Sioux Falls, SD Metropolitan Statistical Area",666,"1,814"
332,"Houma-Thibodaux, LA Metropolitan Statistical Area",666,"1,383"
333,"St. Joseph, MO-KS Metropolitan Statistical Area",666,817
334,"Harrisonburg, VA Metropolitan Statistical Area",665,899
335,"San Angelo, TX Metropolitan Statistical Area",663,809
336,"Iowa City, IA Metropolitan Statistical Area",662,"1,155"
337,"Whitewater, WI Micropolitan Statistical Area",660,699
338,"Salinas, CA Metropolitan Statistical Area",657,"2,884"
339,"Wheeling, WV-OH Metropolitan Statistical Area",656,921
340,"Appleton, WI Metropolitan Statistical Area",656,"1,586"
341,"Salem, OH Micropolitan Statistical Area",655,670
342,"Corpus Christi, TX Metropolitan Statistical Area",653,"2,759"
343,"Wenatchee, WA Metropolitan Statistical Area",652,790
344,"Florence-Muscle Shoals, AL Metropolitan Statistical Area",646,970
345,"Ogdensburg-Massena, NY Micropolitan Statistical Area",646,703
346,"Kennewick-Richland, WA Metropolitan Statistical Area",645,"1,933"
347,"Mankato, MN Metropolitan Statistical Area",644,662
348,"Idaho Falls, ID Metropolitan Statistical Area",640,990
349,"Merced, CA Metropolitan Statistical Area",638,"1,782"
350,"Chambersburg-Waynesboro, PA Metropolitan Statistical Area",637,991
351,"Fond du Lac, WI Metropolitan Statistical Area",635,660
352,"Wausau-Weston, WI Metropolitan Statistical Area",634,"1,052"
353,"Bay City, MI Metropolitan Statistical Area",630,656
354,"Terre Haute, IN Metropolitan Statistical Area",628,"1,166"
355,"Cedar Rapids, IA Metropolitan Statistical Area",628,"1,726"
356,"Wooster, OH Micropolitan Statistical Area",626,732
357,"Waterloo-Cedar Falls, IA Metropolitan Statistical Area",625,"1,053"
358,"Sheboygan, WI Metropolitan Statistical Area",624,733
359,"Fort Smith, AR-OK Metropolitan Statistical Area",623,"1,529"
360,"Lafayette-West Lafayette, IN Metropolitan Statistical Area",623,"1,391"
361,"Muncie, IN Metropolitan Statistical Area",622,700
362,"Twin Falls, ID Metropolitan Statistical Area",622,704
363,"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area",621,"2,244"
364,"Green Bay, WI Metropolitan Statistical Area",618,"2,018"
365,"Eau Claire, WI Metropolitan Statistical Area",615,"1,052"
366,"St. Cloud, MN Metropolitan Statistical Area",598,"1,188"
367,"Ottawa, IL Micropolitan Statistical Area",595,887
368,"Owensboro, KY Metropolitan Statistical Area",581,701
369,"Yuma, AZ Metropolitan Statistical Area",577,"1,170"
370,"Hanford-Corcoran, CA Metropolitan Statistical Area",575,874
371,"Logan, UT-ID Metropolitan Statistical Area",573,835
372,"Ames, IA Metropolitan Statistical Area",567,708
373,"Grand Forks, ND-MN Metropolitan Statistical Area",561,586
374,"London, KY Micropolitan Statistical Area",555,830
375,"Dalton, GA Metropolitan Statistical Area",551,787
376,"Yakima, WA Metropolitan Statistical Area",549,"1,401"
377,"Holland, MI Micropolitan Statistical Area",544,650
378,"Elkhart-Goshen, IN Metropolitan Statistical Area",543,"1,121"
379,"Visalia, CA Metropolitan Statistical Area",530,"2,497"
380,"Farmington, NM Metropolitan Statistical Area",521,640
381,"Bismarck, ND Metropolitan Statistical Area",508,674
382,"Sioux City, IA-NE-SD Metropolitan Statistical Area",466,692
383,"Brownsville-Harlingen, TX Metropolitan Statistical Area",440,"1,852"
384,"McAllen-Edinburg-Mission, TX Metropolitan Statistical Area",415,"3,592"
385,"El Centro, CA Metropolitan Statistical Area",403,726
386,"Laredo, TX Metropolitan Statistical Area",372,994
387,"San Juan-Bayamón-Caguas, PR Metropolitan Statistical Area",194,"4,064"
388,"San Germán, PR Metropolitan Statistical Area",130,163
389,"Aguadilla-Isabela, PR Metropolitan Statistical Area",118,366
390,"Ponce, PR Metropolitan Statistical Area",110,249
391,"Arecibo, PR Metropolitan Statistical Area",99,181
,,,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2021 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",,,
