State: Top Ten Report Categories,,,
,,,
State,Category,# of Reports,Percentage
Utah,Banks and Lenders,850,6%
Utah,"Credit Bureaus, Information Furnishers and Report Users",720,5%
Utah,Shop-at-Home and Catalog Sales,706,5%
Utah,Auto Related,475,3%
Utah,Internet Services,346,2%
Virginia,Debt Collection,11274,19%
Virginia,Imposter Scams,8100,14%
Virginia,Identity Theft,7656,13%
Virginia,Banks and Lenders,4271,7%
Virginia,Telephone and Mobile Services,3767,6%
Virginia,Shop-at-Home and Catalog Sales,2809,5%
Virginia,"Prizes, Sweepstakes and Lotteries",2723,5%
Virginia,"Credit Bureaus, Information Furnishers and Report Users",2517,4%
Virginia,Auto Related,2435,4%
Virginia,Credit Cards,1407,2%
Vermont,Imposter Scams,511,18%
Vermont,Identity Theft,354,13%
Vermont,"Prizes, Sweepstakes and Lotteries",256,9%
Vermont,Banks and Lenders,230,8%
Vermont,Shop-at-Home and Catalog Sales,220,8%
Vermont,Telephone and Mobile Services,195,7%
Vermont,Auto Related,107,4%
Vermont,Debt Collection,100,4%
Vermont,"Credit Bureaus, Information Furnishers and Report Users",80,3%
Vermont,Credit Cards,74,3%
Washington,Imposter Scams,8584,19%
Washington,Identity Theft,7360,16%
Washington,Debt Collection,6020,13%
Washington,Banks and Lenders,4413,10%
Washington,Telephone and Mobile Services,4353,9%
Washington,Shop-at-Home and Catalog Sales,2915,6%
Washington,Auto Related,2514,5%
Washington,"Prizes, Sweepstakes and Lotteries",2198,5%
Washington,"Credit Bureaus, Information Furnishers and Report Users",2048,4%
Washington,Television and Electronic Media,1566,3%
Wisconsin,Imposter Scams,4749,16%
Wisconsin,Debt Collection,3981,13%
Wisconsin,Identity Theft,3731,12%
Wisconsin,"Prizes, Sweepstakes and Lotteries",2387,8%
Wisconsin,Telephone and Mobile Services,2380,8%
Wisconsin,Banks and Lenders,1871,6%
Wisconsin,Shop-at-Home and Catalog Sales,1639,5%
Wisconsin,Auto Related,1398,5%
Wisconsin,"Credit Bureaus, Information Furnishers and Report Users",1197,4%
Wisconsin,Television and Electronic Media,915,3%
