Metropolitan Areas: Identity Theft Reports,,,
,,,
Rank,Metropolitan Area,Reports per 100K Population,# of Reports
229,"Florence, SC Metropolitan Statistical Area",74,152
230,"Wilmington, NC Metropolitan Statistical Area",74,208
231,"Lebanon, PA Metropolitan Statistical Area",73,102
232,"Youngstown-Warren-Boardman, OH-PA Metropolitan Statistical Area",73,400
233,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area",73,235
234,"Longview, TX Metropolitan Statistical Area",73,159
235,"Eugene, OR Metropolitan Statistical Area",73,270
236,"Columbia, MO Metropolitan Statistical Area",73,129
237,"Salem, OR Metropolitan Statistical Area",73,305
238,"Springfield, MO Metropolitan Statistical Area",73,333
239,"Sherman-Denison, TX Metropolitan Statistical Area",73,93
240,"Racine, WI Metropolitan Statistical Area",72,141
241,"Altoona, PA Metropolitan Statistical Area",72,90
242,"Scranton--Wilkes-Barre--Hazleton, PA Metropolitan Statistical Area",72,400
243,"Midland, TX Metropolitan Statistical Area",72,121
244,"Whitewater-Elkhorn, WI Micropolitan Statistical Area",72,74
245,"Kankakee, IL Metropolitan Statistical Area",72,79
246,"Peoria, IL Metropolitan Statistical Area",72,270
247,"Salinas, CA Metropolitan Statistical Area",72,312
248,"Bloomington, IN Metropolitan Statistical Area",72,119
249,"Richmond, VA Metropolitan Statistical Area",71,913
250,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metropolitan Statistical Area",71,318
251,"East Stroudsburg, PA Metropolitan Statistical Area",70,117
252,"Alexandria, LA Metropolitan Statistical Area",70,109
253,"Wausau, WI Metropolitan Statistical Area",70,95
254,"Provo-Orem, UT Metropolitan Statistical Area",70,421
255,"Fargo, ND-MN Metropolitan Statistical Area",70,166
256,"Baton Rouge, LA Metropolitan Statistical Area",70,581
257,"Sheboygan, WI Metropolitan Statistical Area",69,80
258,"Lancaster, PA Metropolitan Statistical Area",69,373
259,"Tyler, TX Metropolitan Statistical Area",69,156
260,"Toledo, OH Metropolitan Statistical Area",69,419
261,"Urban Honolulu, HI Metropolitan Statistical Area",69,682
262,"El Centro, CA Metropolitan Statistical Area",69,124
263,"Gettysburg, PA Metropolitan Statistical Area",69,70
264,"Yakima, WA Metropolitan Statistical Area",68,171
265,"Buffalo-Cheektowaga-Niagara Falls, NY Metropolitan Statistical Area",68,775
266,"Muncie, IN Metropolitan Statistical Area",68,79
267,"Jackson, TN Metropolitan Statistical Area",68,88
268,"Greenville, NC Metropolitan Statistical Area",68,120
269,"Dothan, AL Metropolitan Statistical Area",68,100
270,"Lumberton, NC Micropolitan Statistical Area",68,90
271,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",67,595
272,"Michigan City-La Porte, IN Metropolitan Statistical Area",67,74
273,"Yuma, AZ Metropolitan Statistical Area",67,138
274,"Monroe, LA Metropolitan Statistical Area",67,120
275,"Longview, WA Metropolitan Statistical Area",67,70
276,"Canton-Massillon, OH Metropolitan Statistical Area",67,267
277,"Anniston-Oxford-Jacksonville, AL Metropolitan Statistical Area",66,76
278,"Tuscaloosa, AL Metropolitan Statistical Area",66,160
279,"Grand Forks, ND-MN Metropolitan Statistical Area",66,68
280,"Erie, PA Metropolitan Statistical Area",66,182
281,"Lawton, OK Metropolitan Statistical Area",66,84
282,"Ottawa-Peru, IL Micropolitan Statistical Area",66,98
283,"Athens-Clarke County, GA Metropolitan Statistical Area",65,134
284,"Brunswick, GA Metropolitan Statistical Area",65,76
285,"Houma-Thibodaux, LA Metropolitan Statistical Area",65,137
286,"Decatur, IL Metropolitan Statistical Area",65,69
287,"Grand Junction, CO Metropolitan Statistical Area",65,97
288,"Rapid City, SD Metropolitan Statistical Area",65,94
289,"Bozeman, MT Micropolitan Statistical Area",64,67
290,"San Germán, PR Metropolitan Statistical Area",64,82
291,"Richmond-Berea, KY Micropolitan Statistical Area",64,68
292,"Bangor, ME Metropolitan Statistical Area",64,97
293,"Oshkosh-Neenah, WI Metropolitan Statistical Area",64,108
294,"Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area",63,231
295,"Jefferson City, MO Metropolitan Statistical Area",63,96
296,"Chambersburg-Waynesboro, PA Metropolitan Statistical Area",63,97
297,"Morgantown, WV Metropolitan Statistical Area",63,87
298,"Gulfport-Biloxi-Pascagoula, MS Metropolitan Statistical Area",63,245
299,"State College, PA Metropolitan Statistical Area",63,101
300,"Kennewick-Richland, WA Metropolitan Statistical Area",62,177
301,"Lubbock, TX Metropolitan Statistical Area",62,196
302,"Lake Charles, LA Metropolitan Statistical Area",62,129
303,"Syracuse, NY Metropolitan Statistical Area",62,407
304,"Mankato-North Mankato, MN Metropolitan Statistical Area",62,62
305,"New Bern, NC Metropolitan Statistical Area",62,78
306,"Jamestown-Dunkirk-Fredonia, NY Micropolitan Statistical Area",62,80
307,"Salem, OH Micropolitan Statistical Area",62,64
308,"Bend-Redmond, OR Metropolitan Statistical Area",61,111
309,"Show Low, AZ Micropolitan Statistical Area",61,67
310,"Bismarck, ND Metropolitan Statistical Area",61,80
311,"Abilene, TX Metropolitan Statistical Area",60,103
312,"Terre Haute, IN Metropolitan Statistical Area",60,103
313,"Wenatchee, WA Metropolitan Statistical Area",60,71
314,"Arecibo, PR Metropolitan Statistical Area",60,111
315,"Elizabethtown-Fort Knox, KY Metropolitan Statistical Area",60,89
316,"Gainesville, GA Metropolitan Statistical Area",60,117
317,"Iowa City, IA Metropolitan Statistical Area",59,100
318,"Coeur d'Alene, ID Metropolitan Statistical Area",59,91
319,"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area",59,224
320,"Pottsville, PA Micropolitan Statistical Area",59,84
321,"Joplin, MO Metropolitan Statistical Area",58,104
322,"Burlington-South Burlington, VT Metropolitan Statistical Area",58,127
323,"Lincoln, NE Metropolitan Statistical Area",58,191
324,"Utica-Rome, NY Metropolitan Statistical Area",58,170
325,"Claremont-Lebanon, NH-VT Micropolitan Statistical Area",58,125
326,"La Crosse-Onalaska, WI-MN Metropolitan Statistical Area",58,79
327,"Winchester, VA-WV Metropolitan Statistical Area",58,78
328,"Eau Claire, WI Metropolitan Statistical Area",57,95
329,"San Angelo, TX Metropolitan Statistical Area",57,68
330,"Bowling Green, KY Metropolitan Statistical Area",57,97
331,"Williamsport, PA Metropolitan Statistical Area",56,65
332,"Evansville, IN-KY Metropolitan Statistical Area",56,178
333,"Green Bay, WI Metropolitan Statistical Area",56,178
334,"Gadsden, AL Metropolitan Statistical Area",56,57
335,"Kingsport-Bristol-Bristol, TN-VA Metropolitan Statistical Area",55,169
336,"Pittsfield, MA Metropolitan Statistical Area",55,70
337,"Sioux Falls, SD Metropolitan Statistical Area",55,141
338,"Sioux City, IA-NE-SD Metropolitan Statistical Area",55,93
339,"Duluth, MN-WI Metropolitan Statistical Area",55,153
340,"Billings, MT Metropolitan Statistical Area",55,93
341,"Bluefield, WV-VA Micropolitan Statistical Area",55,56
342,"Casper, WY Metropolitan Statistical Area",54,44
343,"Odessa, TX Metropolitan Statistical Area",53,84
344,"Weirton-Steubenville, WV-OH Metropolitan Statistical Area",53,63
345,"Johnstown, PA Metropolitan Statistical Area",53,71
346,"Watertown-Fort Drum, NY Metropolitan Statistical Area",53,60
347,"Tullahoma-Manchester, TN Micropolitan Statistical Area",53,54
348,"Cleveland, TN Metropolitan Statistical Area",52,63
349,"Lynchburg, VA Metropolitan Statistical Area",52,135
350,"St. Joseph, MO-KS Metropolitan Statistical Area",51,65
351,"Lafayette, LA Metropolitan Statistical Area",51,251
352,"Wooster, OH Micropolitan Statistical Area",51,59
353,"Beckley, WV Metropolitan Statistical Area",50,61
354,"Farmington, NM Metropolitan Statistical Area",50,58
355,"Mansfield, OH Metropolitan Statistical Area",50,61
356,"Meridian, MS Micropolitan Statistical Area",50,52
357,"Janesville-Beloit, WI Metropolitan Statistical Area",50,81
358,"London, KY Micropolitan Statistical Area",50,64
359,"Fairbanks, AK Metropolitan Statistical Area",50,50
360,"Kahului-Wailuku-Lahaina, HI Metropolitan Statistical Area",50,82
361,"Springfield, OH Metropolitan Statistical Area",49,66
362,"Binghamton, NY Metropolitan Statistical Area",49,119
363,"Florence-Muscle Shoals, AL Metropolitan Statistical Area",48,71
364,"Johnson City, TN Metropolitan Statistical Area",48,97
365,"Hilo, HI Micropolitan Statistical Area",48,95
366,"Glens Falls, NY Metropolitan Statistical Area",47,60
367,"Appleton, WI Metropolitan Statistical Area",47,111
368,"Logan, UT-ID Metropolitan Statistical Area",46,63
369,"Waterloo-Cedar Falls, IA Metropolitan Statistical Area",46,78
370,"Elkhart-Goshen, IN Metropolitan Statistical Area",46,93
371,"Augusta-Waterville, ME Micropolitan Statistical Area",45,54
372,"Jonesboro, AR Metropolitan Statistical Area",45,58
373,"Dalton, GA Metropolitan Statistical Area",44,64
374,"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area",44,159
375,"Tupelo, MS Micropolitan Statistical Area",43,61
376,"Lewiston-Auburn, ME Metropolitan Statistical Area",43,46
377,"Wheeling, WV-OH Metropolitan Statistical Area",43,61
378,"Ogdensburg-Massena, NY Micropolitan Statistical Area",42,46
379,"Fort Smith, AR-OK Metropolitan Statistical Area",42,117
380,"Decatur, AL Metropolitan Statistical Area",40,61
381,"St. Cloud, MN Metropolitan Statistical Area",39,77
382,"Lima, OH Metropolitan Statistical Area",39,40
383,"Blacksburg-Christiansburg-Radford, VA Metropolitan Statistical Area",36,65
384,"Roanoke, VA Metropolitan Statistical Area",34,108
385,"Harrisonburg, VA Metropolitan Statistical Area",31,41
386,"Fond du Lac, WI Metropolitan Statistical Area",26,27
387,"Staunton-Waynesboro, VA Metropolitan Statistical Area",26,32
388,"Danville, VA Micropolitan Statistical Area",16,17
389,"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area",11,189
,,,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2016 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",,,
,,,
"Source: Consumer Sentinel Network Data Book 2017, Federal Trade Commission",,,
